model,retriever,language,setting_id,dev_reference_variant,devtest_reference_variant,variant,comet22,qe
bloomz-7b1-mt,gte,eng_Latn-xho_Latn,bloomz-7b1-mt|gte|eng_Latn-xho_Latn,revised_keep_higher,original,Rdev/Odevtest,0.5436865326768089,0.4218496194941253
bloomz-7b1-mt,gte,eng_Latn-xho_Latn,bloomz-7b1-mt|gte|eng_Latn-xho_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.5447166468580014,0.4218496194941253
bloomz-7b1-mt,sonar,eng_Latn-hau_Latn,bloomz-7b1-mt|sonar|eng_Latn-hau_Latn,original,original,Odev/Odevtest,0.5413682820061921,0.3836231278807749
bloomz-7b1-mt,sonar,eng_Latn-hau_Latn,bloomz-7b1-mt|sonar|eng_Latn-hau_Latn,original,revised_keep_higher,Odev/Rdevtest,0.5410385874096348,0.3836231278807749
bloomz-7b1-mt,sonar,eng_Latn-hau_Latn,bloomz-7b1-mt|sonar|eng_Latn-hau_Latn,revised_keep_higher,original,Rdev/Odevtest,0.5468060833516093,0.3867011517875279
bloomz-7b1-mt,sonar,eng_Latn-hau_Latn,bloomz-7b1-mt|sonar|eng_Latn-hau_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.5470648116538883,0.3867011517875279
bloomz-7b1-mt,sonar,eng_Latn-plt_Latn,bloomz-7b1-mt|sonar|eng_Latn-plt_Latn,original,original,Odev/Odevtest,0.5171424339421307,0.3801633548488956
bloomz-7b1-mt,sonar,eng_Latn-plt_Latn,bloomz-7b1-mt|sonar|eng_Latn-plt_Latn,original,revised_keep_higher,Odev/Rdevtest,0.516779831104887,0.3801633548488956
bloomz-7b1-mt,sonar,eng_Latn-plt_Latn,bloomz-7b1-mt|sonar|eng_Latn-plt_Latn,revised_keep_higher,original,Rdev/Odevtest,0.5249143072874239,0.3809718396404002
bloomz-7b1-mt,sonar,eng_Latn-plt_Latn,bloomz-7b1-mt|sonar|eng_Latn-plt_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.5244269618598542,0.3809718396404002
bloomz-7b1-mt,sonar,eng_Latn-som_Latn,bloomz-7b1-mt|sonar|eng_Latn-som_Latn,original,original,Odev/Odevtest,0.5508288743025936,0.412691192105118
bloomz-7b1-mt,sonar,eng_Latn-som_Latn,bloomz-7b1-mt|sonar|eng_Latn-som_Latn,original,revised_keep_higher,Odev/Rdevtest,0.549630750427133,0.412691192105118
bloomz-7b1-mt,sonar,eng_Latn-som_Latn,bloomz-7b1-mt|sonar|eng_Latn-som_Latn,revised_keep_higher,original,Rdev/Odevtest,0.5621302528196408,0.4151464155010084
bloomz-7b1-mt,sonar,eng_Latn-som_Latn,bloomz-7b1-mt|sonar|eng_Latn-som_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.56132991405815,0.4151464155010084
bloomz-7b1-mt,sonar,eng_Latn-swh_Latn,bloomz-7b1-mt|sonar|eng_Latn-swh_Latn,original,original,Odev/Odevtest,0.8112987889779415,0.7614315662223831
bloomz-7b1-mt,sonar,eng_Latn-swh_Latn,bloomz-7b1-mt|sonar|eng_Latn-swh_Latn,original,revised_keep_higher,Odev/Rdevtest,0.8116522449926425,0.7614315662223831
bloomz-7b1-mt,sonar,eng_Latn-swh_Latn,bloomz-7b1-mt|sonar|eng_Latn-swh_Latn,revised_keep_higher,original,Rdev/Odevtest,0.8118184019218792,0.7650548697637004
bloomz-7b1-mt,sonar,eng_Latn-swh_Latn,bloomz-7b1-mt|sonar|eng_Latn-swh_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.813441242477875,0.7650548697637004
bloomz-7b1-mt,sonar,eng_Latn-xho_Latn,bloomz-7b1-mt|sonar|eng_Latn-xho_Latn,original,original,Odev/Odevtest,0.5539916552632693,0.4314076040278781
bloomz-7b1-mt,sonar,eng_Latn-xho_Latn,bloomz-7b1-mt|sonar|eng_Latn-xho_Latn,original,revised_keep_higher,Odev/Rdevtest,0.5547530327301488,0.4314076040278781
bloomz-7b1-mt,sonar,eng_Latn-xho_Latn,bloomz-7b1-mt|sonar|eng_Latn-xho_Latn,revised_keep_higher,original,Rdev/Odevtest,0.552854311825494,0.4309669754250718
bloomz-7b1-mt,sonar,eng_Latn-xho_Latn,bloomz-7b1-mt|sonar|eng_Latn-xho_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.5540293320100533,0.4309669754250718
llama3-8b-instruct,bm25,eng_Latn-hau_Latn,llama3-8b-instruct|bm25|eng_Latn-hau_Latn,original,original,Odev/Odevtest,0.6620187644843056,0.5263832551040668
llama3-8b-instruct,bm25,eng_Latn-hau_Latn,llama3-8b-instruct|bm25|eng_Latn-hau_Latn,original,revised_keep_higher,Odev/Rdevtest,0.6641842488037504,0.5263832551040668
llama3-8b-instruct,bm25,eng_Latn-hau_Latn,llama3-8b-instruct|bm25|eng_Latn-hau_Latn,revised_keep_higher,original,Rdev/Odevtest,0.6657427720313251,0.5307679878098691
llama3-8b-instruct,bm25,eng_Latn-hau_Latn,llama3-8b-instruct|bm25|eng_Latn-hau_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.6681415117216911,0.5307679878098691
llama3-8b-instruct,bm25,eng_Latn-plt_Latn,llama3-8b-instruct|bm25|eng_Latn-plt_Latn,original,original,Odev/Odevtest,0.5881294722230773,0.4601566257625229
llama3-8b-instruct,bm25,eng_Latn-plt_Latn,llama3-8b-instruct|bm25|eng_Latn-plt_Latn,original,revised_keep_higher,Odev/Rdevtest,0.5879622441035486,0.4601566257625229
llama3-8b-instruct,bm25,eng_Latn-plt_Latn,llama3-8b-instruct|bm25|eng_Latn-plt_Latn,revised_keep_higher,original,Rdev/Odevtest,0.5877984500537984,0.4608804367394315
llama3-8b-instruct,bm25,eng_Latn-plt_Latn,llama3-8b-instruct|bm25|eng_Latn-plt_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.5880221922701526,0.4608804367394315
llama3-8b-instruct,bm25,eng_Latn-som_Latn,llama3-8b-instruct|bm25|eng_Latn-som_Latn,original,original,Odev/Odevtest,0.5227874157133074,0.4702150255382767
llama3-8b-instruct,bm25,eng_Latn-som_Latn,llama3-8b-instruct|bm25|eng_Latn-som_Latn,original,revised_keep_higher,Odev/Rdevtest,0.5215168567190293,0.4702150255382767
llama3-8b-instruct,bm25,eng_Latn-som_Latn,llama3-8b-instruct|bm25|eng_Latn-som_Latn,revised_keep_higher,original,Rdev/Odevtest,0.528023027163367,0.4710850308652923
llama3-8b-instruct,bm25,eng_Latn-som_Latn,llama3-8b-instruct|bm25|eng_Latn-som_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.5264800715263889,0.4710850308652923
llama3-8b-instruct,bm25,eng_Latn-swh_Latn,llama3-8b-instruct|bm25|eng_Latn-swh_Latn,original,original,Odev/Odevtest,0.7254841602425801,0.6846957597513443
