model_tag,retriever,lang_pair,selector_method,num_samples,avg_demo_xcomet,avg_error_penalty,major_or_critical_demo_ratio,avg_original_rank,topk_overlap,source_semantic_diversity,comet22,delta_comet22_vs_topk
bloomz-7b1-mt,gte,eng_Latn-hau_Latn,quality_rerank,1012,0.6314474511090961,1.9317359895820627,0.8191699604743083,4.594367588932807,0.9571393280632411,0.44324555039881214,0.5345135420678633,0.004534937426624586
bloomz-7b1-mt,gte,eng_Latn-hau_Latn,random_in_topn,1012,0.6142773526590023,2.020313125035267,0.8252223320158103,25.485795454545453,0.15847332015810275,0.49986578192707004,0.5195579251841359,-0.010420679457102788
bloomz-7b1-mt,gte,eng_Latn-hau_Latn,retriever_topk,1012,0.6145288904884042,1.9938561274448954,0.8218873517786561,4.5,1.0,0.4428059403221362,0.5299786046412387,0.0
bloomz-7b1-mt,gte,eng_Latn-plt_Latn,error_filter,1012,0.6362389425614576,1.5391846920287213,0.7906373517786561,5.816946640316205,0.775197628458498,0.45063379792920416,0.5164545567875559,-0.002841381916035779
bloomz-7b1-mt,gte,eng_Latn-plt_Latn,error_profile_rerank,1012,0.632838265175228,1.5063872765765394,0.7376482213438735,5.2188735177865615,0.8399209486166008,0.4443019819185601,0.5277172540315417,0.008421315327949985
bloomz-7b1-mt,gte,eng_Latn-plt_Latn,low_quality,1012,0.2629702794577249,3.4214662298071423,0.7990365612648221,26.04891304347826,0.14970355731225296,0.4976764492236208,0.4773328094172619,-0.04196312928632978
bloomz-7b1-mt,gte,eng_Latn-plt_Latn,quality_only,1012,0.8682827797641043,0.3160518151224215,0.3584486166007905,25.32324604743083,0.160449604743083,0.493611442162863,0.5026978828130739,-0.01659805589051777
bloomz-7b1-mt,gte,eng_Latn-plt_Latn,quality_rerank,1012,0.5762967888197748,1.8267974565140592,0.7992835968379447,4.592267786561265,0.9599802371541502,0.44288564265039365,0.5203104278129829,0.00101448910939117
bloomz-7b1-mt,gte,eng_Latn-plt_Latn,random_in_topn,1012,0.5559270846990596,1.9641706400587458,0.8100296442687747,25.485795454545453,0.15847332015810275,0.49986578192707004,0.48983645863212616,-0.029459480071465538
bloomz-7b1-mt,gte,eng_Latn-plt_Latn,retriever_topk,1012,0.5624252865173791,1.9015708809377434,0.7986660079051383,4.5,1.0,0.4428059403221362,0.5192959387035917,0.0
