language,split,example_id,original_xcomet,retranslated_xcomet,keep_higher_xcomet,improved,kept_original,bottom20_rank
eng_Latn-hau_Latn,dev,910,0.378818303346634,0.540589272975922,0.540589272975922,1,0,159
eng_Latn-hau_Latn,dev,854,0.380017757415771,0.705727279186249,0.705727279186249,1,0,160
eng_Latn-hau_Latn,dev,294,0.384451240301132,0.640514373779297,0.640514373779297,1,0,161
eng_Latn-hau_Latn,dev,565,0.385195374488831,0.262336492538452,0.385195374488831,0,1,162
eng_Latn-hau_Latn,dev,743,0.386742770671844,0.505105912685394,0.505105912685394,1,0,163
eng_Latn-hau_Latn,dev,660,0.387092381715775,0.842662870883942,0.842662870883942,1,0,164
eng_Latn-hau_Latn,dev,985,0.387690871953964,0.522690832614899,0.522690832614899,1,0,165
eng_Latn-hau_Latn,dev,822,0.388354808092117,0.555848002433777,0.555848002433777,1,0,166
eng_Latn-hau_Latn,dev,865,0.388458073139191,0.443904042243958,0.443904042243958,1,0,167
eng_Latn-hau_Latn,dev,68,0.389238625764847,0.710445642471313,0.710445642471313,1,0,168
eng_Latn-hau_Latn,dev,972,0.391934931278229,0.89591920375824,0.89591920375824,1,0,169
eng_Latn-hau_Latn,dev,939,0.392165958881378,0.736953973770142,0.736953973770142,1,0,170
eng_Latn-hau_Latn,dev,316,0.392972201108932,0.710377633571625,0.710377633571625,1,0,171
eng_Latn-hau_Latn,dev,817,0.395660161972046,0.643501877784729,0.643501877784729,1,0,172
eng_Latn-hau_Latn,dev,224,0.396262884140015,0.829801797866821,0.829801797866821,1,0,173
eng_Latn-hau_Latn,dev,851,0.396756380796432,0.475597023963928,0.475597023963928,1,0,174
eng_Latn-hau_Latn,dev,980,0.397450536489487,0.4020856320858,0.4020856320858,1,0,175
eng_Latn-hau_Latn,dev,1,0.398178786039352,0.577673852443695,0.577673852443695,1,0,176
eng_Latn-hau_Latn,dev,888,0.399090319871902,0.539291143417358,0.539291143417358,1,0,177
eng_Latn-hau_Latn,dev,794,0.400034934282303,0.775698661804199,0.775698661804199,1,0,178
eng_Latn-hau_Latn,dev,920,0.401891142129898,0.515431046485901,0.515431046485901,1,0,179
eng_Latn-hau_Latn,dev,258,0.402944147586823,0.720657467842102,0.720657467842102,1,0,180
eng_Latn-hau_Latn,dev,300,0.403456300497055,0.753326117992401,0.753326117992401,1,0,181
eng_Latn-hau_Latn,dev,219,0.404048681259155,0.918333530426025,0.918333530426025,1,0,182
eng_Latn-hau_Latn,dev,139,0.404244065284729,0.541025996208191,0.541025996208191,1,0,183
eng_Latn-hau_Latn,dev,366,0.404518902301788,0.56833428144455,0.56833428144455,1,0,184
eng_Latn-hau_Latn,dev,675,0.405687749385834,0.633108973503113,0.633108973503113,1,0,185
eng_Latn-hau_Latn,dev,553,0.407039940357208,0.549397230148315,0.549397230148315,1,0,186
eng_Latn-hau_Latn,dev,376,0.408135682344437,0.830771327018738,0.830771327018738,1,0,187
eng_Latn-hau_Latn,dev,662,0.409456729888916,0.634057641029358,0.634057641029358,1,0,188
eng_Latn-hau_Latn,dev,927,0.409617453813553,0.88606470823288,0.88606470823288,1,0,189
eng_Latn-hau_Latn,dev,812,0.411215215921402,0.530364155769348,0.530364155769348,1,0,190
eng_Latn-hau_Latn,dev,878,0.413042455911636,0.926082849502563,0.926082849502563,1,0,191
eng_Latn-hau_Latn,dev,127,0.413069039583206,0.502463400363922,0.502463400363922,1,0,192
eng_Latn-hau_Latn,dev,183,0.413491696119308,0.517973661422729,0.517973661422729,1,0,193
eng_Latn-hau_Latn,dev,814,0.418254345655441,0.549829602241516,0.549829602241516,1,0,194
eng_Latn-hau_Latn,dev,649,0.421595126390457,0.597125172615051,0.597125172615051,1,0,195
eng_Latn-hau_Latn,dev,519,0.421770423650742,0.278173983097076,0.421770423650742,0,1,196
eng_Latn-hau_Latn,dev,32,0.422064006328583,0.614133834838867,0.614133834838867,1,0,197
eng_Latn-hau_Latn,dev,353,0.42251193523407,0.605130851268768,0.605130851268768,1,0,198
eng_Latn-hau_Latn,dev,206,0.422554850578308,0.730609774589539,0.730609774589539,1,0,199
eng_Latn-hau_Latn,devtest,276,0.107538498938084,0.40502393245697,0.40502393245697,1,0,1
