model_tag,retriever,lang_pair,num_queries,k,avg_revised_demo_count,query_coverage,revised_demo_ratio,pct_query_0_revised,pct_query_1_revised,pct_query_2_revised,pct_query_3plus_revised,delta_comet22,delta_qe,definition
bloomz-7b1-mt,sonar,eng_Latn-hau_Latn,1012,8.0,1.3982213438735178,0.7618577075098815,0.1747776679841897,0.2381422924901186,0.3349802371541502,0.2658102766798419,0.1610671936758893,0.0054378013454171,0.0030780239067529,actual target-text replacements after keep-higher
bloomz-7b1-mt,sonar,eng_Latn-plt_Latn,1012,8.0,1.2025691699604744,0.6650197628458498,0.1503211462450593,0.3349802371541502,0.3201581027667984,0.2114624505928853,0.133399209486166,0.0077718733452932,0.0008084847915045,actual target-text replacements after keep-higher
bloomz-7b1-mt,sonar,eng_Latn-som_Latn,1012,8.0,1.274703557312253,0.6956521739130435,0.1593379446640316,0.3043478260869565,0.3260869565217391,0.2193675889328063,0.150197628458498,0.0113013785170471,0.0024552233958903,actual target-text replacements after keep-higher
bloomz-7b1-mt,sonar,eng_Latn-swh_Latn,1012,8.0,1.2895256916996047,0.6966403162055336,0.1611907114624506,0.3033596837944664,0.3399209486166007,0.1956521739130435,0.1610671936758893,0.0005196129439376,0.0036233035413173,actual target-text replacements after keep-higher
bloomz-7b1-mt,sonar,eng_Latn-xho_Latn,1012,8.0,1.2944664031620554,0.7381422924901185,0.1618083003952569,0.2618577075098814,0.3675889328063241,0.2282608695652173,0.1422924901185771,-0.0011373434377752,-0.0004406286028063,actual target-text replacements after keep-higher
llama3-8b-instruct,bm25,eng_Latn-hau_Latn,1012,8.0,1.315217391304348,0.7697628458498024,0.1644021739130435,0.2302371541501976,0.3814229249011858,0.2569169960474308,0.1314229249011857,0.0037240075470195,0.0043847327058023,actual target-text replacements after keep-higher
llama3-8b-instruct,bm25,eng_Latn-plt_Latn,1012,8.0,1.2411067193675889,0.7233201581027668,0.1551383399209486,0.2766798418972332,0.3567193675889328,0.2470355731225296,0.1195652173913043,-0.0003310221692789,0.0007238109769086,actual target-text replacements after keep-higher
llama3-8b-instruct,bm25,eng_Latn-som_Latn,1012,8.0,1.424901185770751,0.7806324110671937,0.1781126482213438,0.2193675889328063,0.3379446640316205,0.2845849802371542,0.1581027667984189,0.0052356114500595,0.0008700053270155,actual target-text replacements after keep-higher
llama3-8b-instruct,bm25,eng_Latn-swh_Latn,1012,8.0,1.3280632411067197,0.7509881422924901,0.1660079051383399,0.2490118577075099,0.3596837944664031,0.2519762845849802,0.1393280632411067,-0.0002886600232877,0.0017153819500222,actual target-text replacements after keep-higher
llama3-8b-instruct,bm25,eng_Latn-xho_Latn,1012,8.0,1.3606719367588933,0.7579051383399209,0.1700839920948616,0.242094861660079,0.358695652173913,0.2411067193675889,0.1581027667984189,-0.0012893420257586,-0.0002942706049666,actual target-text replacements after keep-higher
